,question,ans,website
13,"Question 14. Does The Functions Help() And Dir() List The Names Of All The Built_in Functions And Variables? If No, How Would You List Them?","Answer :
No. Built-in functions such as max(), min(), filter(), map(), etc is not apparent immediately as they are available as part of standard module.To view them, we can pass the module ” builtins ” as an argument to “dir()”. It will display the built-in functions, exceptions, and other objects as a list.>>>dir(__builtins )
[‘ArithmeticError’, ‘AssertionError’, ‘AttributeError’, ……… ]
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13;",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
14,Question 15. Explain How Python Does Compile-time And Run-time Code Checking?,"Answer :
Python performs some amount of compile-time checking, but most of the checks such as type, name, etc are postponed until code execution. Consequently, if the Python code references a user -defined function that does not exist, the code will compile successfully. In fact, the code will fail with an exception only when the code execution path references the function which does not exists.
Ruby on Rails Interview Questions",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
15,Question 16. What Is A “unittest” In Python?,"Answer :
The unit testing framework of Python is known as “unittest”.  It supports the sharing of setups, automation testing, shutdown code for tests, aggregation of tests into collections, among others.
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13; C Tutorial",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
16,Question 17. Define “slicing”?,"Answer :
“Slicing” is a mechanism to select a range of items from sequence types like list, tuple, strings etc.
Ruby Interview Questions",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
17,Question 18. What Are Generators In Python?,"Answer :
Generators are the means to implement iterators. It is a normal function except that it yields “expression” in the “function”.
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13; Python Interview Questions",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
18,Question 19. Define “docstring”?,"Answer :
“Docstring” is a Python documentation string. It is the means to document Python “functions”, “modules” and “classes”.
Ruby on Rails Tutorial",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
19,Question 20. How Do You Copy An Object In Python?,"Answer :
copy.copy () or copy.deepcopy()
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13; Django Interview Questions",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
20,Question 21. What Is A “negative Index”?,"Answer :
Python sequences can be indexed as positive and negative numbers. For ac positive index, 0 is the first number, 1 is the second etc.  For a negative index, (-1) is the last index and (-2) is the second etc.",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
21,Question 22. How Do You Convert A Number Into A String?,"Answer :
By using the inbuilt function str().
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13; Django Tutorial",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
22,Question 23. What Is The Difference Between “xrange” And “range”?,"Answer :
“Xrange” returns the “Xrange” object while range returns the “list” irrespective of the size of the “range”.
Lisp programming Interview Questions",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
23,Question 24. Define “module” And “package”?,"Answer :
Each Python program file is a “module”, which imports other modules like “objects” and “attributes”.
A Python program folder is a “package” of “modules”.  A package can have “modules” or “subfolders”.
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13; C++ Interview Questions",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
24,Question 25. What Is Pep 8?,"Answer :
PEP 8 is a coding convention, a set of recommendation, about how to write your Python code more readable.
Ruby on Rails 2.1 Tutorial",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
25,Question 26. What Is Pickling And Unpickling?,"Answer :
Pickle module accepts any Python object and converts it into a string representation and dumps it into a file by using dump function, this process is called pickling.  While the process of retrieving original Python objects from the stored string representation is called unpickling.
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13; R Programming language Interview Questions",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
26,Question 27. How Python Is Interpreted?,"Answer :
Python language is an interpreted language. Python program runs directly from the source code. It converts the source code that is written by the programmer into an intermediate language, which is again translated into machine language that has to be executed.
PHP Interview Questions",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
27,Question 28. How Memory Is Managed In Python?,"Answer :
Python memory is managed by Python private heap space. All Python objects and data structures are located in a private heap. The programmer does not have an access to this private heap and interpreter takes care of this Python private heap.
The allocation of Python heap space for Python objects is done by Python memory manager.  The core API gives access to some tools for the programmer to code.
Python also have an inbuilt garbage collector, which recycle all the unused memory and frees the memory and makes it available to the heap space.
Lisp programming Tutorial",https://www.wisdomjobs.com/e-university/python-automation-testing-interview-questions.html
